Month,Region,Category,Revenue,Expenses,Units
Jan,North,Electronics,45200,31000,312
Jan,South,Clothing,28400,18500,540
Jan,East,Electronics,38900,26700,275
Jan,West,Food,19300,12400,890
Feb,North,Electronics,51200,34200,358
Feb,South,Clothing,31800,20100,602
Feb,East,Food,22100,14300,1020
Feb,West,Electronics,41600,28900,294
Mar,North,Clothing,33400,21800,634
Mar,South,Electronics,48700,33100,342
Mar,East,Electronics,43200,29600,305
Mar,West,Clothing,26900,17400,510
Apr,North,Food,21500,13900,980
Apr,South,Electronics,55100,37400,387
Apr,East,Clothing,29800,19400,566
Apr,West,Electronics,46300,31800,325
May,North,Electronics,58400,39700,410
May,South,Food,24200,15700,1100
May,East,Electronics,50100,34300,352
May,West,Clothing,31200,20300,592
Jun,North,Clothing,36700,23900,696
Jun,South,Electronics,61200,41600,430
Jun,East,Food,26800,17400,1220
Jun,West,Electronics,53400,36500,375
